sim_time, animated_rocket?world_pose/position/z
208.045, 86.4077
208.046, 87.8091
208.047, 87.8091
208.048, 87.8091
208.049, 87.8091
208.05, 87.8091
208.051, 87.8091
208.052, 87.8091
208.053, 87.8091
208.054, 87.8091
208.055, 87.8091
208.056, 87.8091
208.057, 87.8091
208.058, 87.8091
208.059, 87.8091
208.06, 87.8091
208.061, 87.8091
208.062, 87.8091
208.063, 87.8091
208.064, 87.8091
208.065, 87.8091
208.066, 87.8091
208.067, 87.8091
208.068, 87.8091
208.069, 87.8091
208.07, 87.8091
208.071, 87.8091
208.072, 87.8091
208.073, 87.8091
208.074, 87.8091
208.075, 87.8091
208.076, 87.8091
208.077, 87.8091
208.078, 87.8091
208.079, 87.8091
208.08, 89.1857
208.081, 89.1857
208.082, 89.1857
208.083, 89.1857
208.084, 89.1857
208.085, 89.1857
208.086, 89.1857
208.087, 89.1857
208.088, 89.1857
208.089, 89.1857
208.09, 89.1857
208.091, 89.1857
208.092, 89.1857
208.093, 89.1857
208.094, 89.1857
208.095, 89.1857
208.096, 89.1857
208.097, 89.1857
208.098, 89.1857
208.099, 89.1857
208.1, 89.1857
208.101, 89.1857
208.102, 89.1857
208.103, 89.1857
208.104, 89.1857
208.105, 89.1857
208.106, 89.1857
208.107, 89.1857
208.108, 89.1857
208.109, 89.1857
208.11, 89.1857
208.111, 89.1857
208.112, 89.1857
208.113, 89.1857
208.114, 90.5215
208.115, 90.5215
208.116, 90.5215
208.117, 90.5215
208.118, 90.5215
208.119, 90.5215
208.12, 90.5215
208.121, 90.5215
208.122, 90.5215
208.123, 90.5215
208.124, 90.5215
208.125, 90.5215
208.126, 90.5215
208.127, 90.5215
208.128, 90.5215
208.129, 90.5215
208.13, 90.5215
208.131, 90.5215
208.132, 90.5215
208.133, 90.5215
208.134, 90.5215
208.135, 90.5215
208.136, 90.5215
208.137, 90.5215
208.138, 90.5215
208.139, 90.5215
208.14, 90.5215
208.141, 90.5215
208.142, 90.5215
208.143, 90.5215
208.144, 90.5215
208.145, 90.5215
208.146, 90.5215
208.147, 90.5215
208.148, 91.837
208.149, 91.837
208.15, 91.837
208.151, 91.837
208.152, 91.837
208.153, 91.837
208.154, 91.837
208.155, 91.837
208.156, 91.837
208.157, 91.837
208.158, 91.837
208.159, 91.837
208.16, 91.837
208.161, 91.837
208.162, 91.837
208.163, 91.837
208.164, 91.837
208.165, 91.837
208.166, 91.837
208.167, 91.837
208.168, 91.837
208.169, 91.837
208.17, 91.837
208.171, 91.837
208.172, 91.837
208.173, 91.837
208.174, 91.837
208.175, 91.837
208.176, 91.837
208.177, 91.837
208.178, 91.837
208.179, 91.837
208.18, 91.837
208.181, 91.837
208.182, 93.1322
208.183, 93.1322
208.184, 93.1322
208.185, 93.1322
208.186, 93.1322
208.187, 93.1322
208.188, 93.1322
208.189, 93.1322
208.19, 93.1322
208.191, 93.1322
208.192, 93.1322
208.193, 93.1322
208.194, 93.1322
208.195, 93.1322
208.196, 93.1322
208.197, 93.1322
208.198, 93.1322
208.199, 93.1322
208.2, 93.1322
208.201, 93.1322
208.202, 93.1322
208.203, 93.1322
208.204, 93.1322
208.205, 93.1322
208.206, 93.1322
208.207, 93.1322
208.208, 93.1322
208.209, 93.1322
208.21, 93.1322
208.211, 93.1322
208.212, 93.1322
208.213, 93.1322
208.214, 93.1322
208.215, 93.1322
208.216, 94.4076
208.217, 94.4076
208.218, 94.4076
208.219, 94.4076
208.22, 94.4076
208.221, 94.4076
208.222, 94.4076
208.223, 94.4076
208.224, 94.4076
208.225, 94.4076
208.226, 94.4076
208.227, 94.4076
208.228, 94.4076
