sim_time, my_bot/altitude_joint?0/velocity
429.059, 2.26935e-07
429.06, 1.81548e-07
429.061, 1.45238e-07
429.062, 1.16191e-07
429.063, 9.29525e-08
429.064, 7.43619e-08
429.065, 5.94895e-08
429.066, 4.75916e-08
429.067, 3.80734e-08
429.068, 3.04587e-08
429.069, 2.4367e-08
429.07, 1.94936e-08
429.071, 1.55948e-08
429.072, 1.24759e-08
429.073, 9.98064e-09
429.074, 7.98455e-09
429.075, 6.3876e-09
429.076, 5.11005e-09
429.077, 4.08811e-09
429.078, 3.27045e-09
429.079, 2.6164e-09
429.08, 2.09308e-09
429.081, 1.67457e-09
429.082, 1.33955e-09
429.083, 1.07168e-09
429.084, 8.5727e-10
429.085, 6.85851e-10
429.086, 5.48717e-10
429.087, 4.38938e-10
429.088, 3.51186e-10
429.089, 2.8102e-10
429.09, 2.24709e-10
429.091, 1.79767e-10
429.092, 1.43885e-10
429.093, 1.15108e-10
429.094, 9.20153e-11
429.095, 7.37188e-11
429.096, 5.89751e-11
429.097, 4.70735e-11
429.098, 3.76588e-11
429.099, 3.01981e-11
429.1, 2.41585e-11
429.101, 1.93623e-11
429.102, 1.54543e-11
429.103, 1.22569e-11
429.104, 9.94761e-12
429.105, 7.81596e-12
429.106, 6.3949e-12
429.107, 4.97381e-12
429.108, 4.08565e-12
429.109, 3.19744e-12
429.11, 2.66453e-12
429.111, 2.13164e-12
429.112, 1.59873e-12
429.113, 1.24346e-12
429.114, 1.06582e-12
429.115, 8.88193e-13
429.116, 7.1055e-13
429.117, 5.32924e-13
429.118, 3.55286e-13
429.119, 3.55286e-13
429.12, 3.55255e-13
429.121, 1.77633e-13
429.122, 1.77639e-13
429.123, 1.77642e-13
429.124, 1.77626e-13
429.125, 1.29998e-17
429.126, -2.51234e-18
429.127, -6.00851e-18
429.128, 3.49798e-18
429.129, 6.50269e-18
429.13, 1.90142e-17
429.131, -1.85175e-17
429.132, -3.00332e-18
429.133, 1.25114e-17
429.134, 9.50815e-18
429.135, -1.25114e-17
429.136, -1.25116e-17
429.137, 1.55127e-17
429.138, 3.10272e-17
429.139, -1.85147e-17
429.14, -3.00155e-18
429.141, -3.00121e-18
429.142, 1.85146e-17
429.143, 9.77086e-22
429.144, -2.66199e-22
429.145, 1.55141e-17
429.146, -1.85146e-17
429.147, -3.10277e-17
429.148, 1.55144e-17
429.149, -1.85131e-17
429.15, -1.25137e-17
429.151, 2.99879e-18
429.152, -1.25151e-17
429.153, -1.55138e-17
429.154, -5.99738e-18
429.155, 3.10278e-17
429.156, 2.25397e-23
429.157, -1.25161e-17
429.158, 1.85114e-17
429.159, -9.51943e-18
429.16, -5.99442e-18
429.161, 2.9968e-18
429.162, -1.25173e-17
429.163, -2.15061e-17
429.164, 9.52145e-18
429.165, 2.50351e-17
429.166, -1.55134e-17
429.167, 2.99593e-18
429.168, -2.21312e-22
429.169, 6.87118e-23
