# Simulation 1 (Up to date)
# 279 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Thrust (N),Drag force (N)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.572,43.896,48.084,20.78,48.484,21.587,3.617,2.839e-5,3.617,4.497e-4,6.215,5.849,0.142,-3.047e-8,0.013,4.942e-5,102.049,4.401,1.225
1.601,45.276,48.679,20.797,49.094,21.369,3.796,3.244e-5,3.796,4.896e-4,6.367,4.912,0.121,-3.68e-8,-0.013,2.125e-5,101.896,4.413,1.256
1.642,47.319,49.545,20.64,49.978,21.153,4.065,4.06e-5,4.065,5.723e-4,6.56,4.631,0.179,-2.376e-8,0.002,-3.63e-5,101.671,4.43,1.301
1.668,48.592,50.074,20.524,50.517,21.09,4.234,4.67e-5,4.234,6.32e-4,6.679,4.85,0.114,-2.028e-8,0.012,1.768e-5,101.533,4.446,1.329
1.706,50.527,50.852,20.069,51.316,20.822,4.494,5.702e-5,4.494,7.27e-4,6.88,5.55,0.078,0,-0.011,-3.745e-5,101.324,4.448,1.37
1.756,53.095,51.842,19.617,52.336,20.372,4.845,7.026e-5,4.845,8.308e-4,7.171,5.493,0.077,-1.92e-8,0.005,9.239e-5,101.052,4.448,1.425
1.791,54.932,52.528,19.383,53.041,19.996,5.101,7.984e-5,5.101,8.968e-4,7.357,4.914,0.06,-6.487e-8,-0.005,5.36e-5,100.86,4.448,1.464
1.841,57.579,53.288,14.291,53.822,14.899,5.474,9.625e-5,5.474,0.001,7.559,4.212,0.011,-6.114e-8,0.004,2.388e-4,100.62,3.964,1.504
# Event BURNOUT occurred at t=1.86 seconds
1.86,58.573,53.009,-14.85,53.543,14.881,5.616,1.024e-4,5.616,0.001,7.54,0.958,0.014,-3.217e-8,0.005,1.437e-4,100.595,0.973,1.49
1.888,60.051,52.33,-24.016,52.86,24.141,5.826,1.111e-4,5.826,0.001,7.469,2.454,0.021,-3.974e-8,-0.005,1.063e-4,100.595,0,1.452
1.93,62.233,51.33,-23.477,51.856,23.593,6.138,1.238e-4,6.138,0.001,7.369,2.342,0.029,-3.004e-8,-0.002,2.529e-5,100.595,0,1.396
1.98,64.771,50.173,-22.817,50.694,22.955,6.504,1.432e-4,6.504,0.001,7.25,2.513,0.05,-1.931e-8,0.001,4.195e-5,100.595,0,1.334
2.03,67.251,49.047,-22.212,49.562,22.363,6.863,1.677e-4,6.863,0.001,7.12,2.587,0.097,1.397e-7,0.01,5.761e-5,100.595,0,1.276
2.073,69.344,48.101,-21.776,48.609,21.898,7.168,1.901e-4,7.168,0.002,7.01,2.303,0.024,5.337e-8,0.018,2.812e-4,100.595,0,1.227
2.123,71.722,47.023,-21.334,47.528,21.405,7.515,2.135e-4,7.515,0.002,6.909,1.748,0.144,3.239e-8,-0.012,2.409e-5,100.595,0,1.173
2.158,73.325,46.295,-20.974,46.8,21.046,7.752,2.279e-4,7.752,0.002,6.854,1.747,0.132,-2.804e-8,-7.324e-4,7.062e-5,100.595,0,1.138
2.199,75.236,45.434,-20.409,45.934,20.574,8.036,2.461e-4,8.036,0.002,6.761,2.596,0.183,-5.678e-8,0.006,-7.885e-5,100.595,0,1.098
